,CensusTract,CENTROID_X,CENTROID_Y,Total_Population
122,4100.0,1353095.6940000001,483395.1004,1202
123,4110.0,1345094.138,486668.9163,7571
124,4120.01,1345469.304,470498.573,8700
125,4120.02,1350814.396,459477.1176,5362
126,4131.0,1366904.834,470244.9653,7223
127,4132.01,1363696.3280000002,460921.4184,3682
128,4132.02,1358906.414,462756.1606,2686
129,4133.0,1362843.313,455444.36,4744
130,4134.0,1373338.935,455180.6856,4258
131,4135.0,1372838.5669999998,462342.3738,6258
132,4141.01,1393656.635,468040.2919,5253
133,4141.02,1383448.343,466209.7317,7488
134,4142.0,1390008.718,456518.0308,5735
135,4150.01,1413109.749,461426.9814,4887
136,4150.02,1402283.033,451745.9534,2405
137,4160.0,1433886.99,451303.1237,1643
138,4171.0,1434569.701,447567.3254,2154
139,4172.0,1435675.965,445586.8507,1253
140,4180.0,1429887.754,447174.99700000003,1758
141,4190.0,1419515.6230000001,448973.5207,3025
142,4200.0,1413138.174,429135.5938,1570
143,4211.0,1411311.6130000001,433678.9065,4129
144,4212.0,1395748.731,437758.7189,4376
145,4220.0,1405125.2759999998,441180.2615,5413
146,4230.0,1400936.291,429678.5199,2795
147,4240.0,1395655.836,430010.7234,3426
148,4250.0,1388831.0459999999,431701.1049,3432
149,4263.0,1381736.438,448771.1215,6170
150,4264.0,1385622.064,440645.0681,4312
151,4267.0,1390166.6630000002,438503.922,2227
152,4268.0,1388536.735,447904.5536,5478
153,4270.0,1381434.346,426081.8863,3721
154,4271.0,1380848.4,438851.419,5646
155,4272.0,1383887.882,430712.5087,4879
156,4281.0,1379345.614,423302.2947,1198
157,4282.0,1376800.519,428295.6608,2127
158,4291.0,1372184.62,435274.667,2599
159,4292.01,1373670.2340000002,449260.3699,4290
160,4292.02,1375822.678,441779.059,4611
161,4293.0,1360537.67,446716.4791,5370
162,4294.0,1366912.424,445076.4578,4408
163,4295.0,1369598.275,446502.292,4156
164,4296.0,1361002.275,436813.4208,3171
165,4297.0,1364830.335,432912.9919,2486
166,4301.0,1367524.719,438431.0276,2135
167,4302.0,1364045.736,440450.2743,4600
168,4311.0,1360095.47,429716.9004,3197
169,4314.0,1358941.205,434415.1496,1919
170,4315.0,1358088.0,430831.2876,3213
171,4323.0,1355448.274,435100.6859,1914
172,4324.0,1355283.695,432586.8762,2767
173,4340.0,1351671.909,435651.9218,1692
174,4350.0,1347532.5790000001,437728.6324,2429
175,4370.0,1348939.706,449084.1574,5760
176,4390.0,1326849.758,466912.2576,1444
177,4455.0,1324814.919,448801.362,3837
178,4460.0,1321383.299,454249.506,1657
179,4470.0,1318367.62,461405.5157,1632
180,4480.0,1315384.314,458433.6333,1281
181,4490.0,1311303.654,455134.2061,2636
182,4507.0,1330242.747,438117.5275,3056
183,4508.0,1327875.614,441346.7466,2586
184,4511.01,1313910.6709999999,448210.6125,3843
185,4511.02,1319188.604,442691.4346,5697
186,4511.04,1304033.2920000001,448494.8093,3417
187,4511.05,1308932.308,439897.8579,4960
188,4513.0,1322442.9440000001,430186.9444,7331
189,4520.0,1295867.396,427085.60799999995,5307
190,4530.03,1320182.223,407338.6581,1944
191,4530.04,1317355.878,415765.0697,6949
192,4550.0,1321235.977,397968.8808,1432
193,4560.01,1330770.475,386441.37799999997,3742
194,4560.03,1324377.005,381444.5895,6886
195,4560.04,1338491.513,371374.8689,4488
196,4571.0,1341221.211,383239.8571,1449
197,4572.0,1344469.789,381252.2953,3686
198,4580.0,1336376.127,397409.2089,7620
199,4591.01,1336584.084,432834.9664,1627
200,4591.02,1336100.112,423356.2376,5785
201,4592.01,1337404.274,412820.5309,6205
202,4592.02,1345467.856,407544.0955,743
203,4600.01,1344909.42,429473.67299999995,4509
204,4600.02,1345944.264,421403.3773,3426
205,4610.0,1343333.6619999998,436063.2092,1097
206,4621.0,1353814.986,427966.2824,2821
207,4626.0,1353179.507,424030.9495,3509
208,4639.0,1353708.69,421182.2841,2523
209,4643.0,1354695.576,413344.6803,3308
210,4644.0,1357911.993,422462.8835,3552
211,4656.0,1354659.987,411052.4761,2383
212,4658.0,1353454.428,408216.7641,3537
213,4687.0,1348751.092,402186.4117,1711
214,4688.0,1347080.27,399571.7838,2326
215,4689.0,1351597.746,398573.8543,3916
216,4690.0,1358379.231,403126.1282,4653
217,4703.0,1350255.429,390407.1802,3968
218,4704.0,1348676.6,385720.1096,3019
219,4705.01,1356766.644,396083.9798,3529
220,4705.02,1353933.562,398006.8453,3001
221,4706.0,1349120.7019999998,395449.1106,3485
222,4710.0,1347585.517,394085.2227,1324
223,4721.0,1363329.392,396473.9448,2422
224,4722.0,1361748.739,394841.3547,2337
225,4723.0,1364080.8380000002,394047.0192,1891
226,4724.0,1362626.325,392373.7343,1905
227,4731.0,1359214.993,394250.0248,4623
228,4732.0,1359709.9309999999,390123.4986,3085
229,4733.0,1364717.874,389472.323,5584
230,4734.01,1361206.791,386568.7036,3631
231,4734.02,1361332.19,381953.4109,3708
232,4735.0,1357821.999,384440.8542,3905
233,4736.01,1355980.9619999998,391285.7762,3795
234,4736.02,1353799.3,386604.3432,4689
235,4741.01,1351922.649,381126.3401,3494
236,4741.02,1354018.166,375266.5265,3645
237,4742.01,1346018.6,377059.2084,2558
238,4742.02,1346082.186,370025.56799999997,5127
239,4742.03,1350486.5680000002,365696.0029,4561
240,4751.01,1361577.8480000002,377506.9581,4544
241,4751.02,1362684.283,373853.9442,1575
242,4752.0,1357024.4630000002,369262.3291,4772
243,4753.01,1363149.199,369169.7287,4630
244,4753.03,1359450.006,363402.3051,3987
245,4753.04,1358921.188,360173.9103,5759
246,4754.01,1368674.417,374904.9302,3922
247,4754.02,1366202.1909999999,365094.3794,3133
248,4761.0,1366642.874,384889.6303,4967
249,4762.0,1368974.083,383800.5342,3326
250,4771.0,1371557.4530000002,381443.7875,3547
251,4772.0,1374881.9619999998,384029.2812,4369
252,4773.0,1379164.131,380585.1984,6004
253,4781.0,1378308.885,386561.7805,4344
254,4782.0,1380870.823,386719.3024,5254
255,4790.0,1369174.8169999998,389396.3652,2004
256,4801.01,1377388.456,374980.8245,5115
257,4801.02,1372954.7680000002,376251.6841,3092
258,4802.0,1383392.049,380529.9648,3727
259,4803.0,1383212.092,395063.0559,3192
260,4804.0,1386395.7859999998,389034.291,4677
261,4810.0,1377443.169,400528.4122,3399
262,4825.0,1395989.761,395133.4908,1784
263,4838.0,1398542.122,398561.3292,3144
264,4843.0,1402228.4419999998,398068.0861,3568
265,4845.0,1399852.1469999999,389377.5486,5613
266,4846.0,1400920.84,393023.2626,2170
267,4850.0,1404986.761,395993.6647,1211
268,4867.0,1413860.2719999999,388003.9679,2226
269,4868.0,1416280.7619999999,383814.6179,1932
270,4869.0,1415303.358,382417.3785,1398
271,4870.0,1403359.9309999999,377862.74600000004,1864
272,4881.0,1404494.7780000002,390918.8052,2244
273,4882.0,1408537.33,392393.6872,3440
274,4883.0,1404346.08,384886.4469,2233
275,4884.0,1410192.1809999999,382310.4334,4217
276,4885.0,1391347.2969999998,381087.6031,3030
277,4886.0,1394946.983,373386.3849,5073
278,4890.01,1386424.8469999998,370500.1994,4398
279,4890.02,1381260.427,370876.1553,3886
280,4900.02,1369376.1819999998,358951.9055,4817
281,4900.03,1374824.468,366021.0642,3753
282,4900.04,1377796.4340000001,354272.8079,4934
283,4911.01,1385792.487,360081.8943,6661
284,4912.0,1395672.6630000002,363193.7469,1993
285,4927.0,1404985.4019999998,360557.8315,1987
286,4928.0,1404992.119,356390.1231,2605
287,4929.0,1401907.572,355000.2423,2160
288,4940.0,1403563.7230000002,348907.3958,1391
289,4950.0,1399069.514,332539.4152,3356
290,4961.01,1422592.385,348168.5504,3027
291,4961.02,1416896.0369999998,339079.8009,4394
292,4962.0,1425375.292,358191.9891,5876
293,4970.0,1412720.7480000001,358921.6371,1021
294,4980.0,1411955.4019999998,368011.1797,2537
295,4993.0,1404327.532,370884.7831,1595
296,4994.0,1404423.18,366689.2702,2859
297,5003.0,1408428.956,372741.2428,3785
298,5010.0,1419729.3269999998,365407.2891,1682
299,5030.02,1424284.076,376240.6917,5984
300,5041.0,1420795.8090000001,389203.3572,5575
301,5070.0,1426827.3909999998,389687.0774,2140
302,5080.0,1426184.159,393107.9513,1766
303,5094.0,1423122.6840000001,398430.4121,5324
304,5100.0,1418367.312,394280.7503,1827
305,5120.0,1416507.096,397204.8552,2454
306,5128.0,1413573.711,395244.0793,1411
307,5129.0,1411075.2719999999,399107.295,964
308,5138.0,1409875.505,396312.1548,1989
309,5140.0,1406533.3669999999,399709.4766,2190
310,5151.0,1407311.54,402335.6459,2464
311,5152.0,1407084.259,404766.6641,2396
312,5153.0,1403522.97,402244.74,1863
313,5154.01,1403025.0690000001,405260.7516,2209
314,5161.0,1404627.561,407013.9491,1373
315,5162.0,1407063.628,407214.5557,1720
316,5170.0,1411661.7619999999,402139.2972,1733
317,5180.01,1412776.985,405810.2516,3479
318,5190.0,1417777.831,409589.1539,3009
319,5200.01,1424797.71,406593.9769,3224
320,5200.02,1419706.354,402341.1118,3112
321,5211.0,1435919.186,413727.1634,4637
322,5212.0,1430205.243,404512.5053,4358
323,5213.01,1439370.621,400961.0027,4250
324,5213.02,1433070.784,400646.8169,4225
325,5214.01,1448183.2130000002,403726.8333,2871
326,5214.02,1443739.265,396243.4113,4004
327,5215.0,1447804.16,410591.3931,4221
328,5220.0,1435676.9009999998,397849.7869,3270
329,5231.0,1409876.4640000002,422236.729,3978
330,5232.0,1414709.02,418321.4943,3901
331,5233.0,1420078.5469999998,421874.7653,4061
332,5234.0,1420188.292,415850.615,5002
333,5235.01,1426718.1630000002,421569.1978,4830
334,5235.02,1432309.5259999998,418478.2545,1462
335,5236.0,1426017.79,413804.6545,4876
336,5237.01,1424863.2140000002,433202.1288,4302
337,5237.02,1430436.178,428059.7597,5029
338,5238.0,1418799.5780000002,427658.9077,4798
339,5240.0,1418272.755,433694.2156,2560
340,5251.0,1421888.01,438042.0395,2040
341,5252.0,1417522.919,437772.8059,2110
342,5253.0,1420255.039,440974.6176,2248
343,5261.01,1439370.1819999998,440026.3284,6977
344,5261.02,1451684.437,431859.9537,2148
345,5262.01,1441517.053,427245.5384,3744
346,5262.02,1442931.959,419708.047,4810
347,5263.01,1452351.539,422339.7185,4541
348,5263.02,1454417.104,417120.5091,5238
349,5509.0,1414145.468,376729.3682,1740
350,5512.0,1418687.639,377522.8824,3677
351,5513.0,1420834.115,370750.5863,2570
352,5519.0,1414656.344,379183.3907,1614
353,5520.0,1417131.4630000002,374153.9067,2697
354,5521.0,1410823.2680000002,375621.2223,1485
355,5522.0,1407085.0590000001,377175.0186,915
356,5523.0,1414222.304,374292.4188,2184
357,5524.0,1416102.4219999998,371039.2704,2755
358,5604.0,1404292.424,412030.9806,1652
